code,date,close,volume
1514.T,2026-01-08,605.0,1410900
1515.T,2026-01-08,2600.0,1804600
1686.T,2026-01-08,3083.0,1060
1692.T,2026-01-08,639.9,67400
1693.T,2026-01-08,8069.0,88470
1694.T,2026-01-08,2400.0,10070
1848.T,2026-01-08,585.0,32000
1997.T,2026-01-08,4150.0,16200
218A.T,2026-01-08,1570.0,8032400
2303.T,2026-01-08,2621.0,75400
2341.T,2026-01-08,195.0,154200
241A.T,2026-01-08,726.0,6244400
2586.T,2026-01-08,145.0,14319300
2646.T,2026-01-08,3065.0,26585
2667.T,2026-01-08,245.0,2225700
2837.T,2026-01-08,2976.0,19379
2972.T,2026-01-08,125200.0,21996
3036.T,2026-01-08,2699.0,429400
3326.T,2026-01-08,828.0,64700
338A.T,2026-01-08,5300.0,511400
3556.T,2026-01-08,1020.0,359800
3649.T,2026-01-08,972.0,101300
3905.T,2026-01-08,2290.0,4286200
4047.T,2026-01-08,1153.0,288700
4055.T,2026-01-08,1613.0,215700
4284.T,2026-01-08,513.0,298500
4491.T,2026-01-08,3850.0,136000
4530.T,2026-01-08,6440.0,2512400
4814.T,2026-01-08,243.0,21125000
5304.T,2026-01-08,2685.0,112500
5471.T,2026-01-08,1803.5,5271700
5491.T,2026-01-08,957.0,74100
5541.T,2026-01-08,2714.0,2029000
5698.T,2026-01-08,654.0,883000
5715.T,2026-01-08,4480.0,2617600
5724.T,2026-01-08,3500.0,2595300
5729.T,2026-01-08,11160.0,41400
5974.T,2026-01-08,968.0,215900
6269.T,2026-01-08,14400.0,6911900
6327.T,2026-01-08,950.0,133400
6330.T,2026-01-08,4520.0,13381300
6335.T,2026-01-08,546.0,69400
6496.T,2026-01-08,6850.0,41200
6731.T,2026-01-08,48.0,10460500
6925.T,2026-01-08,2824.0,719300
6977.T,2026-01-08,1020.0,71500
6986.T,2026-01-08,666.0,1718300
6998.T,2026-01-08,1649.0,44300
7067.T,2026-01-08,1265.0,38100
7078.T,2026-01-08,386.0,153700
7360.T,2026-01-08,900.0,33100
7707.T,2026-01-08,209.0,464900
7719.T,2026-01-08,368.0,4468500
7746.T,2026-01-08,420.0,9267700
7771.T,2026-01-08,144.0,9462300
8022.T,2026-01-08,3510.0,387800
8135.T,2026-01-08,541.0,124200
8142.T,2026-01-08,3965.0,113900
8226.T,2026-01-08,507.0,1176000
8233.T,2026-01-08,1830.0,3959500
8395.T,2026-01-08,4300.0,172300
8416.T,2026-01-08,1064.0,106500
9227.T,2026-01-08,765.0,1526200
9763.T,2026-01-08,4380.0,15000
9768.T,2026-01-08,4080.0,96400
